Nỗi	N	B-NP	O
bất_lực	A	B-AP	O
của	E	B-PP	O
chủ	N	B-NP	O
rừng	N	B-NP	O
.	CH	O	O

Khu	N	B-NP	O
Biển_Lạc	NNP	B-NP	B-LOC
là	V	B-VP	O
""""	CH	O	O
điểm_nóng	N	B-NP	O
""""	CH	O	O
thứ	N	B-NP	O
hai	M	B-NP	O
chúng_tôi	P	B-NP	O
có_mặt	V	B-VP	O
.	CH	O	O

Nhưng	C	O	O
hiện_nay	N	B-NP	O
có	V	B-VP	O
đến	E	B-PP	O
76%	M	B-NP	O
trong	E	B-PP	O
tổng_số	N	B-NP	O
diện_tích	N	B-NP	O
10.000	M	B-NP	O
ha	Nu	B-NP	O
ở	E	B-PP	O
khu	N	B-NP	O
Biển_Lạc	NNP	B-NP	B-LOC
đang	R	O	O
nằm	V	B-VP	O
ngoài	E	B-PP	O
sự	N	B-NP	O
quản_lý	V	B-VP	O
của	E	B-PP	O
chính_quyền	N	B-NP	O
địa_phương	N	B-NP	O
vì	E	B-PP	O
nạn	N	B-NP	O
lấn_chiếm	V	B-VP	O
đất	N	B-NP	O
.	CH	O	O

Những	L	B-NP	O
đơn_vị	N	B-NP	O
được	V	B-VP	O
giao	V	B-VP	O
quyền	N	B-NP	O
sử_dụng	V	B-VP	O
,	CH	O	O
khai_thác	V	B-VP	O
rừng	N	B-NP	O
Tánh_Linh	NNP	B-NP	B-LOC
tuyên_bố	V	B-VP	O
bất_lực	A	B-AP	O
,	CH	O	O
còn	C	O	O
UBND	Ny	B-NP	O
huyện	N	I-NP	O
thì	C	O	O
...	CH	O	O
kêu	V	B-VP	O
khó	A	B-AP	O
trước	E	B-PP	O
nạn	N	B-NP	O
cư_dân	N	B-NP	O
bất_hợp_pháp	A	B-AP	O
chiếm	V	B-VP	O
đất	N	B-NP	O
.	CH	O	O

Mua_bán	V	B-VP	O
,	CH	O	O
lấn_chiếm	V	B-VP	O
đất	N	B-NP	O
dự_án	N	B-NP	O
.	CH	O	O

30	M	B-NP	O
triệu	M	B-NP	O
đồng	Nu	B-NP	O
/	CH	O	O
ha	Nu	B-NP	O
là	V	B-VP	O
giá	N	B-NP	O
đất	N	B-NP	O
hiện_nay	N	B-NP	O
ở	E	B-PP	O
khu	N	B-NP	O
Biển_Lạc	NNP	B-NP	B-LOC
,	CH	O	O
thuộc	V	B-VP	O
xã	N	B-NP	B-LOC
Gia_An	NNP	I-NP	I-LOC
,	CH	O	O
Gia_Huynh	NNP	B-NP	B-LOC
và	Cc	O	O
thị_trấn	N	B-NP	B-LOC
Lạc_Tánh	NNP	I-NP	I-LOC
Tánh_Linh	NNP	B-NP	B-LOC
,	CH	O	O
Bình_Thuận	NNP	B-NP	B-LOC
.	CH	O	O

Mua_bán	V	B-VP	O
chỉ	R	O	O
bằng	E	B-PP	O
giấy	N	B-NP	O
tay	N	B-NP	O
và	Cc	O	O
dù	C	O	O
biết	V	B-VP	O
đất	N	B-NP	O
này	P	B-NP	O
đã	R	O	O
được	V	B-VP	O
giao	V	B-VP	O
cho	E	B-PP	O
công_ty	N	B-NP	O
làm	V	B-VP	O
dự_án	N	B-NP	O
,	CH	O	O
người_ta	P	B-NP	O
vẫn	R	O	O
mua_bán	V	B-VP	O
,	CH	O	O
sang_nhượng	V	B-VP	O
thoải_mái	A	B-AP	O
.	CH	O	O

Cư_dân	N	B-NP	O
ở	E	B-PP	O
đây	P	B-NP	O
cho	V	B-VP	O
biết	V	B-VP	O
vài	L	B-NP	O
năm	N	B-NP	O
trước	N	B-NP	O
,	CH	O	O
đất	N	B-NP	O
ở	E	B-PP	O
khu	N	B-NP	O
Biển_Lạc	NNP	B-NP	B-LOC
chỉ	R	O	O
chừng	A	B-AP	O
7	M	B-NP	O
-	CH	O	O
8	M	B-NP	O
triệu	M	B-NP	O
đồng	Nu	B-NP	O
/	CH	O	O
ha	Nu	B-NP	O
là	T	O	O
cùng	A	B-AP	O
.	CH	O	O

Khác	A	B-AP	O
với	E	B-PP	O
Lâm_trường	N	B-NP	B-LOC
Tánh_Linh	NNP	I-NP	I-LOC
,	CH	O	O
khu	N	B-NP	O
Biển_Lạc	NNP	B-NP	B-LOC
đã	R	O	O
không	R	O	O
còn	V	B-VP	O
là	C	O	O
rừng	N	B-NP	O
từ	E	B-PP	O
năm	N	B-NP	O
2001	M	B-NP	O
,	CH	O	O
từ	E	B-PP	O
khi	N	B-NP	O
được	V	B-VP	O
UBND	Ny	B-NP	B-ORG
tỉnh	N	I-NP	I-ORG
Bình_Thuận	NNP	I-NP	I-ORG
ra	V	B-VP	O
quyết_định	N	B-NP	O
tách	V	B-VP	O
khỏi	R	O	O
khu	N	B-NP	O
bảo_tồn	V	B-NP	O
thiên_nhiên	N	B-NP	O
Núi_Ông	NNP	B-NP	B-LOC
-	CH	I-NP	O
Biển_Lạc	NNP	B-NP	B-LOC
để	E	B-PP	O
trồng	V	B-VP	O
cây_công_nghiệp	N	B-NP	O
dài	A	B-AP	O
ngày	N	B-NP	O
.	CH	O	O

Có	V	B-VP	O
11	M	B-NP	O
đơn_vị	N	B-NP	O
được	V	B-VP	O
giao	V	B-VP	O
trồng	V	B-VP	O
cây_công_nghiệp	N	B-NP	O
,	CH	O	O
với	E	B-PP	O
3.200	M	B-NP	O
ha	Nu	B-NP	O
trong	E	B-PP	O
tổng	N	B-NP	O
diện_tích	N	B-NP	O
10.000	M	B-NP	O
ha	Nu	B-NP	O
của	E	B-PP	O
khu	N	B-NP	O
Biển_Lạc	NNP	B-NP	B-LOC
.	CH	O	O

Thực_tế	N	B-NP	O
,	CH	O	O
các	L	B-NP	O
doanh_nghiệp	N	B-NP	O
này	P	B-NP	O
mới_chỉ	R	O	O
sử_dụng	V	B-VP	O
được	R	O	O
hơn	A	B-AP	O
26%	M	B-NP	O
diện_tích	N	B-NP	O
đất	N	B-NP	O
được	V	B-VP	O
giao	V	B-VP	O
,	CH	O	O
có	V	B-VP	O
đơn_vị	N	B-NP	O
